Counties,Homicide,Offences against morality,Other offences against persons,Robbery,Breakings,Theft of Stock,Stealing,Theft by workers,Vehicle theft,Dangerous drugs,Traffic offences,Criminal damage,Economic crimes,Corruption,Offences involving police,Offences involving tourists,other penal code offences
NAIROBI,228,444,1704,430,357,7,1505,413,191,786,53,242,1164,31,8,10,673
KIAMBU,151,383,1550,355,337,40,1179,204,116,1027,67,314,404,7,11,0,452
MERU,108,276,2096,104,277,152,1356,98,63,226,4,471,239,1,4,0,602
NAKURU,155,428,1130,146,392,68,874,159,52,412,8,217,325,2,6,0,356
MOMBASA,17,256,610,122,152,10,790,131,93,485,14,101,236,9,0,0,348
MACHAKOS,91,249,866,117,239,67,504,121,41,301,4,224,156,1,2,0,331
MURANGA,127,231,825,98,189,32,417,82,20,660,2,169,86,0,2,0,344
KISII,129,364,1359,63,195,48,391,30,26,301,3,219,127,2,1,0,294
BUNGOMA,71,380,962,59,242,66,299,22,59,87,0,126,145,3,1,2,287
KILIFI,135,346,548,29,113,41,362,59,30,153,11,93,118,16,0,0,340
KITUI,75,173,672,51,147,113,335,12,18,219,1,113,84,0,2,0,175
KISUMU,71,244,572,118,172,22,298,72,45,131,3,104,112,4,0,1,219
KAKAMEGA,77,272,888,104,209,56,329,25,28,118,0,130,92,1,0,0,292
KIRINYAGA,54,99,502,24,100,23,218,43,10,306,0,132,99,0,0,1,151
UASIN GISHU,60,203,693,50,167,54,440,42,49,81,10,113,190,3,1,0,220
NYERI,59,130,433,89,212,38,306,66,29,247,4,115,83,0,1,1,189
TRANS NZOIA,87,275,832,55,206,85,258,47,48,92,0,93,111,0,0,1,198
MAKUENI,85,275,550,35,151,82,238,33,15,155,1,120,56,1,0,1,239
BUSIA,42,177,572,44,147,35,242,33,31,84,0,80,97,0,2,4,199
EMBU,95,131,634,34,131,24,234,58,27,148,1,119,55,2,1,0,125
KERICHO,75,154,708,34,111,24,239,29,16,123,4,147,51,2,0,0,102
HOMA BAY,86,249,563,63,128,31,161,23,15,184,1,64,47,0,0,0,188
NYANDARUA,61,136,403,110,139,84,252,62,27,148,18,103,86,10,3,20,106
KAJIADO,35,108,492,47,118,43,320,67,45,102,0,67,82,3,0,0,149
SIAYA,62,166,512,44,140,34,176,16,18,138,0,84,30,0,3,0,160
NYAMIRA,85,145,645,16,95,38,161,13,8,104,0,82,26,0,2,0,103
MIGORI,86,140,463,34,82,22,108,18,23,78,20,59,23,0,0,0,167
NANDI,37,163,888,28,136,49,203,14,13,112,7,118,42,10,4,0,242
BOMET,51,147,614,14,62,22,112,12,43,50,66,137,54,0,0,0,49
NAROK,21,102,314,24,62,43,89,16,12,39,0,48,16,0,0,0,63
LAIKIPIA,33,137,292,28,110,56,199,38,8,53,2,57,56,1,0,0,93
VIHIGA,35,107,343,42,109,15,144,8,7,72,0,48,15,0,0,0,79
KWALE,43,201,256,34,64,52,152,18,1,54,0,47,31,2,8,3,94
TURKANA,23,63,222,16,43,91,72,13,9,3,3,18,15,0,0,0,142
THARAKA NITHI,33,117,336,18,58,36,78,21,4,129,0,88,18,1,1,0,139
BARINGO,50,76,290,19,85,40,107,16,9,31,4,47,26,2,0,0,34
MARSABIT,54,40,226,30,22,12,93,8,7,103,0,47,7,0,1,2,131
TAITA TAVETA,21,94,217,28,41,21,108,14,9,135,6,44,27,4,4,0,87
WAJIR,7,30,145,0,16,5,35,4,5,24,0,21,15,0,1,0,48
ELGEYO MARAKWET,25,69,246,6,24,14,75,14,0,10,0,45,29,0,0,0,76
WEST POKOT,28,30,172,12,38,37,56,0,11,30,0,62,14,0,0,0,72
GARISSA,9,45,217,17,21,5,55,2,0,34,0,19,26,6,0,0,32
ISIOLO,14,43,173,16,45,30,85,16,11,51,0,38,22,1,0,0,74
SAMBURU,21,20,84,11,20,49,45,8,1,30,0,14,7,0,1,1,51
LAMU,14,27,89,7,18,18,43,1,1,50,1,14,7,0,2,0,47
TANA RIVER,14,67,138,33,34,28,90,7,3,25,0,21,10,0,0,0,59
MANDERA,30,39,131,3,14,0,31,6,1,53,15,10,0,0,3,0,27
