Counties,Homicide,Offences against morality,Other offences against persons,Robbery,Breakings,Theft of Stock,Stealing,Theft by workers,Vehicle theft,Dangerous drugs,Traffic offences,Criminal damage,Economic crimes,Corruption,Offences involving police,Offences involving tourists,other penal code offences,year
Kwale,52,230,243,17,44,26,101,16,11,23,0,44,23,0,0,2,78,2020
kilifi,124,328,356,25,95,28,243,37,17,81,8,86,106,1,0,0,263,2020
Tana River,11,72,129,7,25,18,43,7,5,19,0,20,6,0,1,0,33,2020
Lamu,9,64,103,14,27,13,44,2,2,36,0,15,7,0,4,0,40,2020
Taita Taveta,22,130,238,32,34,30,97,16,13,87,7,48,27,5,0,0,77,2020
Garrissa,13,28,225,13,12,3,77,0,0,23,4,25,15,0,0,0,60,2020
Wajir,3,23,132,2,1,10,12,0,4,22,0,7,6,0,0,0,21,2020
Mandera,12,36,123,11,4,0,16,5,0,46,1,4,10,1,2,0,34,2020
Marsabit,33,68,203,19,33,14,72,8,10,53,0,25,15,0,9,0,59,2020
Isiolo,18,52,131,19,29,16,48,11,11,24,1,16,15,1,0,0,39,2020
Meru,131,294,1381,100,161,114,748,50,46,161,2,361,157,13,0,0,444,2020
Tharaka Nithi,32,113,272,10,65,29,95,16,6,72,0,71,21,0,0,0,123,2020
Embu,90,150,509,39,74,24,201,27,33,103,0,91,56,2,0,9,120,2020
Kitui,105,251,461,69,99,63,177,9,11,84,12,100,41,1,0,0,233,2020
Machakos,83,319,734,128,186,73,317,88,57,255,7,184,99,13,0,2,297,2020
Makueni,89,232,314,29,84,38,137,21,9,87,17,48,38,0,4,1,158,2020
Nyandarua,89,203,306,29,123,69,175,22,9,79,0,70,50,0,0,0,99,2020
Nyeri,68,190,345,59,126,37,185,27,23,158,19,68,47,2,3,1,124,2020
Kirinyaga,48,121,457,32,74,22,151,48,10,166,1,99,82,1,1,0,139,2020
Muranga,145,271,466,62,137,42,238,30,21,316,2,94,37,0,0,0,218,2020
Kiambu,184,406,900,301,272,33,683,128,100,494,21,202,290,32,5,0,302,2020
Turkana,27,101,174,24,38,72,42,10,10,5,1,32,12,1,1,0,79,2020
West Pokot,20,46,148,6,32,11,36,5,8,20,2,36,10,0,0,0,83,2020
Samburu,31,24,108,16,19,39,29,9,4,31,0,16,10,0,0,1,43,2020
Trans Nzoia,46,274,390,73,102,49,128,29,37,41,0,66,65,1,3,0,115,2020
Uasin Gishu,54,240,464,86,115,24,314,31,32,103,0,81,168,4,0,0,232,2020
Elgeyo Marakwet,31,76,127,3,23,16,34,4,2,14,0,33,19,0,1,0,51,2020
Nandi,30,161,373,18,66,17,129,4,11,32,1,67,25,0,0,0,217,2020
Baringo,33,93,241,18,60,41,61,1,8,24,0,33,21,0,0,0,44,2020
Laikipia,44,160,215,32,65,70,173,17,9,46,1,35,51,1,0,0,64,2020
Nakuru,150,473,806,93,297,53,507,87,32,285,6,140,242,2,1,1,317,2020
Narok,25,168,247,17,47,33,62,5,10,27,0,19,12,0,0,0,47,2020
Kajiado,49,133,277,46,83,33,158,34,20,51,0,44,56,2,0,0,121,2020
Kericho,55,163,408,20,67,20,127,14,38,58,7,75,43,1,0,0,62,2020
Bomet,43,198,545,16,62,17,81,17,27,24,0,122,44,0,0,0,66,2020
Kakamega,87,240,343,65,103,26,100,11,13,24,0,71,39,0,0,0,99,2020
Vihiga,57,131,295,30,107,22,109,3,7,57,0,35,14,0,0,0,56,2020
Bungoma,107,324,682,32,164,69,195,15,25,41,0,69,82,0,0,0,202,2020
Busia,43,160,419,20,118,37,160,19,17,70,0,60,40,0,3,0,143,2020
Siaya,80,216,391,29,86,36,131,6,15,70,1,66,29,0,0,0,124,2020
Kisumu,85,327,700,85,187,26,306,58,27,93,1,136,131,1,4,6,217,2020
Homa Bay,108,292,517,58,106,44,118,22,27,114,0,98,33,1,1,0,196,2020
Migori,99,213,400,29,64,18,102,6,13,51,13,49,29,0,2,0,158,2020
Kisii,82,379,1073,58,129,41,228,20,22,98,0,147,86,1,1,0,237,2020
Nyamira,125,151,479,45,67,30,108,2,8,51,0,74,35,0,0,0,90,2020
Nairobi,214,546,1079,360,206,6,894,401,160,377,7,162,835,42,15,0,540,2020
Mombasa,25,280,348,85,119,4,460,64,51,269,42,79,180,4,0,1,220,2020
