,Isiolo,18,52,131,19,29,16,48,11,11.1,24,1,16.1,15,1.1,0,0.1,39,431
0,Meru,131.0,294.0,1381.0,100.0,161.0,114.0,748.0,50.0,46.0,161.0,2.0,361.0,157.0,13.0,0.0,0.0,444.0,4163.0
1,Tharaka Nithi,32.0,113.0,272.0,10.0,65.0,29.0,95.0,16.0,6.0,72.0,0.0,71.0,21.0,0.0,0.0,0.0,123.0,925.0
2,Embu,90.0,150.0,509.0,39.0,74.0,24.0,201.0,27.0,33.0,103.0,0.0,91.0,56.0,2.0,0.0,9.0,120.0,1528.0
3,Kitui,105.0,251.0,461.0,69.0,99.0,63.0,177.0,9.0,11.0,84.0,12.0,100.0,41.0,1.0,0.0,0.0,233.0,1716.0
4,Machakos,83.0,319.0,734.0,128.0,186.0,73.0,317.0,88.0,57.0,255.0,7.0,184.0,99.0,13.0,0.0,2.0,297.0,2842.0
5,Makueni,89.0,232.0,314.0,29.0,84.0,38.0,137.0,21.0,9.0,87.0,17.0,48.0,38.0,0.0,4.0,1.0,158.0,1306.0
6,Nyandarua,89.0,203.0,306.0,29.0,123.0,69.0,175.0,22.0,9.0,79.0,0.0,70.0,50.0,0.0,0.0,0.0,99.0,1323.0
7,Nyeri,68.0,190.0,345.0,59.0,126.0,37.0,185.0,27.0,23.0,158.0,19.0,68.0,47.0,2.0,3.0,1.0,124.0,1482.0
8,Kirinyaga,48.0,121.0,457.0,32.0,74.0,22.0,151.0,48.0,10.0,166.0,1.0,99.0,82.0,1.0,1.0,0.0,139.0,1452.0
9,Muranga,145.0,271.0,466.0,62.0,137.0,42.0,238.0,30.0,21.0,316.0,2.0,94.0,37.0,0.0,0.0,0.0,218.0,2079.0
10,Kiambu,184.0,406.0,900.0,301.0,272.0,33.0,683.0,128.0,100.0,494.0,21.0,202.0,290.0,32.0,5.0,0.0,302.0,4353.0
11,Turkana,27.0,101.0,174.0,24.0,38.0,72.0,42.0,10.0,10.0,5.0,1.0,32.0,12.0,1.0,1.0,0.0,79.0,629.0
12,West Pokot,20.0,46.0,148.0,6.0,32.0,11.0,36.0,5.0,8.0,20.0,2.0,36.0,10.0,0.0,0.0,0.0,83.0,463.0
13,Samburu,31.0,24.0,108.0,16.0,19.0,39.0,29.0,9.0,4.0,31.0,0.0,16.0,10.0,0.0,0.0,1.0,43.0,380.0
14,Trans Nzoia,46.0,274.0,390.0,73.0,102.0,49.0,128.0,29.0,37.0,41.0,0.0,66.0,65.0,1.0,3.0,0.0,115.0,1419.0
15,Uasin Gishu,54.0,240.0,464.0,86.0,115.0,24.0,314.0,31.0,32.0,103.0,0.0,81.0,168.0,4.0,0.0,0.0,232.0,1948.0
16,Elgeyo,,,,,,,,,,,,,,,,,,
17,Marakwet,31.0,76.0,127.0,3.0,23.0,16.0,34.0,4.0,2.0,14.0,0.0,33.0,19.0,0.0,1.0,0.0,51.0,434.0
18,Nandi,30.0,161.0,373.0,18.0,66.0,17.0,129.0,4.0,11.0,32.0,1.0,67.0,25.0,0.0,0.0,0.0,217.0,1151.0
19,Baringo,33.0,93.0,241.0,18.0,60.0,41.0,61.0,1.0,8.0,24.0,0.0,33.0,21.0,0.0,0.0,0.0,44.0,678.0
20,Laikipia,44.0,160.0,215.0,32.0,65.0,70.0,173.0,17.0,9.0,46.0,1.0,35.0,51.0,1.0,0.0,0.0,64.0,983.0
21,Nakuru,150.0,473.0,806.0,93.0,297.0,53.0,507.0,87.0,32.0,285.0,6.0,140.0,242.0,2.0,1.0,1.0,317.0,3492.0
